,Date,BTC-USD,ETH-USD,LTC-USD,XRP-USD,DOGE-USD,MATIC-USD,LINK-USD,ADA-USD,BNB-USD,TRX-USD,DOT-USD,SOL-USD,ETH-BTC,LTC-BTC,XRP-BTC,DOGE-BTC,MATIC-BTC,LINK-BTC,ADA-BTC,BNB-BTC,TRX-BTC,DOT-BTC,SOL-BTC
96,2014-12-22,321.067993,0.0,2.86025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008908549162046184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2014-12-23,332.016998,0.0,2.88732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008696301747779793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2014-12-24,334.38501,0.0,2.8777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008605947975957415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2014-12-25,322.286011,0.0,2.73595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008489198744651687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2014-12-26,319.152008,0.0,2.7007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084621118849423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2014-12-27,327.583008,0.0,2.77958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008485116541820143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2014-12-28,316.160004,0.0,2.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008600075802124546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2014-12-29,317.700989,0.0,2.7338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008604946458004258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2014-12-30,312.718994,0.0,2.69617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008621702076721314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2014-12-31,310.914001,0.0,2.70384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00869642406357892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2015-01-01,320.434998,0.0,2.72421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00850159944139435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2015-01-02,314.07901,0.0,2.69743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008588380356904462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2015-01-03,314.846008,0.0,2.66646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008469092611140872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2015-01-04,281.145996,0.0,2.11022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007505780021850284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2015-01-05,265.084015,0.0,1.95803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007386450669234053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2015-01-06,274.610992,0.0,2.08434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007590155021908227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2015-01-07,286.076996,0.0,2.1181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074039507881297805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2015-01-08,294.13501,0.0,2.11561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007192649389135962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2015-01-09,282.382996,0.0,2.01002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007118063157032302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2015-01-10,287.303009,0.0,1.96999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006856837339980662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2015-01-11,274.608002,0.0,1.6536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00602167448856789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2015-01-12,266.145996,0.0,1.71768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006453901339173255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2015-01-13,267.394012,0.0,1.7102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006395805153632236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2015-01-14,223.893997,0.0,1.54961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006921177078276019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2015-01-15,176.897003,0.0,1.15324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006519273817205371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
